bill_id,household_id,bill_type,amount,billing_period_start,billing_period_end,due_date,is_paid
2446-584953,HH-####,Rent,141.98,1/6/2022,11/11/2022,7/24/2017,false
2545-593809,HH-####,Rent,147.94,1/6/2022,3/29/2024,3/16/2019,true
8538-918906,HH-####,Rent,55.93,1/5/2022,1/18/2016,12/28/2015,true
0643-333523,HH-####,Water,263.49,2/4/2022,4/1/2022,12/6/2022,true
0219-527748,HH-####,Electricity,83.2,2/5/2022,12/25/2020,7/18/2023,true
2967-855406,HH-####,Water,253.67,2/7/2022,10/27/2025,10/3/2018,true
9278-810812,HH-####,Internet,110.2,2/2/2022,1/24/2023,4/30/2020,true
8451-942991,HH-####,Water,224.73,1/4/2022,12/9/2019,12/26/2016,true
3752-376917,HH-####,Water,171.08,1/8/2022,9/26/2024,6/27/2020,false
6405-402965,HH-####,Electricity,83.9,2/8/2022,1/15/2023,11/10/2024,true
8267-955542,HH-####,Water,124.35,1/4/2022,2/13/2017,4/26/2019,false
3108-055654,HH-####,Rent,131.41,2/6/2022,12/31/2018,8/15/2022,false
9341-096650,HH-####,Rent,299.53,2/2/2022,4/28/2017,8/5/2024,true
6565-754213,HH-####,Water,140.79,2/2/2022,4/30/2017,9/27/2017,true
5065-581354,HH-####,Electricity,267.43,2/8/2022,7/24/2025,10/24/2016,true
1010-265597,HH-####,Water,151.61,1/9/2022,10/21/2024,12/18/2023,true
7160-451511,HH-####,Electricity,143.96,1/3/2022,8/22/2019,4/15/2015,false
7012-306832,HH-####,Internet,84.02,1/4/2022,6/17/2019,10/20/2024,false
6629-976577,HH-####,Rent,109.04,1/6/2022,4/13/2024,12/24/2019,true
9065-435498,HH-####,Gas,227.95,2/2/2022,10/8/2024,8/8/2024,true
7019-619746,HH-####,Gas,169.18,1/1/2022,2/1/2025,7/20/2018,false
8828-020135,HH-####,Water,162.42,1/8/2022,11/14/2020,8/5/2015,false
5140-443671,HH-####,Electricity,52.78,1/8/2022,11/24/2023,9/6/2020,false
8550-325557,HH-####,Electricity,89.19,1/3/2022,1/15/2025,5/4/2022,false
7353-026533,HH-####,Water,267.87,1/9/2022,9/23/2024,6/5/2024,true
6011-447327,HH-####,Water,212.14,1/6/2022,8/17/2018,12/14/2024,false
5409-836784,HH-####,Water,209.3,2/1/2022,5/16/2023,10/27/2015,true
4180-970957,HH-####,Water,283.84,1/3/2022,12/8/2015,3/18/2020,true
9051-474406,HH-####,Internet,133.71,2/5/2022,9/12/2023,11/6/2015,false
5686-783653,HH-####,Rent,110.18,1/6/2022,2/17/2022,10/20/2016,true
5658-510286,HH-####,Gas,239.03,2/2/2022,11/16/2019,4/3/2015,false
0665-649279,HH-####,Internet,221.81,2/5/2022,6/19/2017,9/14/2023,false
7398-602118,HH-####,Electricity,263.36,1/6/2022,3/7/2023,10/15/2021,false
4236-142939,HH-####,Rent,70.68,1/1/2022,11/20/2015,8/14/2018,true
6052-287520,HH-####,Gas,220.56,1/2/2022,11/24/2023,3/26/2024,true
5912-882517,HH-####,Water,159.31,2/6/2022,5/9/2018,8/14/2016,false
3028-946825,HH-####,Internet,279.35,2/6/2022,3/16/2025,10/7/2020,false
5098-805138,HH-####,Water,280.45,1/5/2022,1/22/2022,7/29/2015,true
4604-060576,HH-####,Internet,176.03,2/9/2022,12/14/2017,9/23/2016,false
7768-257685,HH-####,Water,129.82,2/1/2022,1/13/2025,7/20/2022,false
1640-043178,HH-####,Water,122.56,1/7/2022,6/1/2018,5/8/2018,false
8802-407352,HH-####,Water,132.32,2/9/2022,9/2/2022,10/17/2016,true
8065-466630,HH-####,Gas,223.09,2/7/2022,3/18/2024,4/11/2017,false
8028-776758,HH-####,Internet,178.7,1/9/2022,6/28/2021,7/27/2015,true
2046-408953,HH-####,Gas,135.0,1/3/2022,5/19/2018,8/31/2023,true
2915-250023,HH-####,Gas,112.29,2/4/2022,10/18/2017,2/22/2018,false
4501-561029,HH-####,Water,131.07,2/6/2022,1/4/2019,12/23/2024,true
6973-746929,HH-####,Gas,285.66,2/9/2022,7/5/2017,12/20/2021,false
2892-095213,HH-####,Gas,217.03,1/1/2022,12/20/2018,6/20/2024,false
0088-310286,HH-####,Rent,234.72,2/7/2022,10/30/2017,5/3/2019,false
5859-611381,HH-####,Electricity,263.71,2/3/2022,11/25/2021,9/6/2018,true
9819-823196,HH-####,Rent,142.64,2/8/2022,10/21/2022,9/28/2015,true
5615-658351,HH-####,Electricity,262.8,1/1/2022,7/28/2019,4/20/2017,true
6206-165220,HH-####,Water,121.48,1/5/2022,7/7/2025,11/19/2024,false
5634-066096,HH-####,Rent,137.81,1/7/2022,12/5/2021,12/14/2022,true
6234-484064,HH-####,Internet,132.4,1/1/2022,8/17/2021,1/28/2015,false
4827-220802,HH-####,Water,244.83,2/6/2022,7/24/2018,5/2/2023,true
1684-155253,HH-####,Electricity,64.17,2/7/2022,3/30/2015,10/13/2019,true
0426-550173,HH-####,Electricity,76.83,1/6/2022,11/28/2017,12/8/2017,true
3375-535701,HH-####,Water,62.97,1/7/2022,2/9/2024,3/14/2015,true
1662-793750,HH-####,Gas,298.39,1/8/2022,6/21/2019,9/25/2021,true
6562-319632,HH-####,Electricity,162.58,2/8/2022,10/28/2019,5/23/2015,true
8631-215649,HH-####,Rent,175.08,1/2/2022,2/14/2022,3/29/2017,true
8571-875553,HH-####,Electricity,68.01,1/5/2022,8/24/2023,9/28/2021,true
7627-776347,HH-####,Gas,268.3,2/4/2022,1/12/2024,7/3/2016,false
7973-763835,HH-####,Gas,135.33,1/5/2022,3/26/2024,10/25/2022,true
5036-282787,HH-####,Water,294.18,2/4/2022,11/3/2016,12/19/2022,true
2861-799478,HH-####,Gas,273.5,1/2/2022,12/17/2018,1/29/2023,true
1967-386100,HH-####,Internet,178.93,1/3/2022,2/1/2021,9/2/2021,false
8768-984475,HH-####,Electricity,213.01,1/1/2022,1/25/2020,2/7/2024,true
4419-750361,HH-####,Gas,205.92,2/1/2022,8/9/2025,4/30/2016,true
1904-665102,HH-####,Rent,164.69,1/9/2022,10/26/2018,11/7/2018,true
8261-884975,HH-####,Rent,82.06,1/7/2022,8/4/2025,10/17/2019,true
5631-935490,HH-####,Rent,164.89,2/3/2022,6/21/2016,1/23/2017,true
5748-777256,HH-####,Water,240.61,1/9/2022,10/31/2025,1/7/2025,true
7529-011915,HH-####,Internet,228.54,2/9/2022,12/14/2018,7/21/2023,false
6168-157539,HH-####,Rent,194.24,2/2/2022,9/27/2015,9/6/2021,true
0358-425516,HH-####,Rent,240.69,2/8/2022,10/28/2020,10/29/2017,true
1916-712944,HH-####,Electricity,215.48,2/6/2022,12/18/2025,3/3/2020,true
4493-124321,HH-####,Rent,79.18,2/7/2022,10/21/2022,8/8/2022,true
8996-162481,HH-####,Internet,75.39,1/3/2022,1/24/2018,7/28/2020,true
6282-730727,HH-####,Rent,229.24,1/8/2022,6/28/2018,9/7/2019,true
2496-518798,HH-####,Gas,251.26,1/7/2022,1/20/2022,4/28/2017,true
6433-694156,HH-####,Gas,115.36,1/2/2022,4/26/2018,2/7/2022,true
7279-832981,HH-####,Internet,290.43,2/5/2022,11/9/2022,11/27/2018,false
9110-934750,HH-####,Rent,108.95,2/4/2022,2/24/2022,2/23/2017,true
8960-328237,HH-####,Gas,114.6,1/1/2022,10/26/2015,2/21/2021,true
5180-771003,HH-####,Gas,183.47,2/7/2022,5/29/2020,1/6/2019,true
3873-286385,HH-####,Gas,241.64,1/3/2022,12/29/2019,5/20/2016,true
1398-788487,HH-####,Gas,295.42,1/1/2022,12/29/2022,1/13/2021,false
8271-536427,HH-####,Electricity,248.56,2/6/2022,8/17/2022,4/30/2019,true
4088-529549,HH-####,Water,269.52,1/1/2022,9/11/2017,9/8/2017,true
7727-135575,HH-####,Water,217.67,1/3/2022,8/30/2019,12/5/2022,true
1558-854695,HH-####,Gas,66.39,1/5/2022,4/10/2025,1/21/2015,false
4452-634913,HH-####,Rent,243.53,1/3/2022,5/10/2017,2/7/2023,false
6263-445190,HH-####,Rent,139.74,2/4/2022,7/5/2015,10/19/2016,true
