category_id,category_name,category_type,description
181,Freelance Income,Income,Daily food purchases
125,Utilities,Income,Transport-related costs
102,Food,Expense,Healthcare expenditures
87,Salary,Expense,Healthcare expenditures
41,Transportation,Expense,Transport-related costs
15,Food,Income,Monthly salary payments
15,Entertainment,Expense,Healthcare expenditures
138,Salary,Income,Daily food purchases
105,Entertainment,Expense,Monthly salary payments
105,Transportation,Expense,Daily food purchases
136,Transportation,Income,Healthcare expenditures
108,Transportation,Income,Transport-related costs
98,Salary,Income,Healthcare expenditures
180,Utilities,Expense,Entertainment expenses
41,Utilities,Expense,Transport-related costs
177,Salary,Expense,Entertainment expenses
95,Salary,Income,Daily food purchases
30,Utilities,Income,Healthcare expenditures
169,Entertainment,Expense,Entertainment expenses
37,Freelance Income,Income,Monthly salary payments
25,Entertainment,Expense,Daily food purchases
119,Utilities,Income,Transport-related costs
152,Entertainment,Expense,Daily food purchases
36,Utilities,Income,Monthly salary payments
88,Entertainment,Expense,Healthcare expenditures
152,Salary,Income,Healthcare expenditures
175,Freelance Income,Income,Daily food purchases
93,Entertainment,Income,Transport-related costs
84,Salary,Expense,Healthcare expenditures
33,Utilities,Expense,Healthcare expenditures
83,Utilities,Expense,Entertainment expenses
32,Transportation,Expense,Entertainment expenses
184,Transportation,Income,Entertainment expenses
87,Entertainment,Expense,Entertainment expenses
191,Food,Income,Healthcare expenditures
191,Food,Expense,Entertainment expenses
78,Food,Expense,Transport-related costs
77,Transportation,Income,Daily food purchases
135,Utilities,Expense,Daily food purchases
79,Entertainment,Income,Transport-related costs
59,Freelance Income,Expense,Transport-related costs
138,Food,Expense,Monthly salary payments
5,Freelance Income,Income,Transport-related costs
79,Freelance Income,Income,Entertainment expenses
16,Transportation,Expense,Daily food purchases
22,Freelance Income,Income,Healthcare expenditures
6,Salary,Expense,Daily food purchases
80,Transportation,Income,Healthcare expenditures
191,Entertainment,Income,Healthcare expenditures
66,Transportation,Expense,Healthcare expenditures
160,Transportation,Income,Entertainment expenses
155,Freelance Income,Expense,Transport-related costs
35,Utilities,Income,Entertainment expenses
48,Utilities,Income,Daily food purchases
184,Salary,Expense,Transport-related costs
104,Food,Expense,Entertainment expenses
45,Freelance Income,Expense,Healthcare expenditures
36,Utilities,Expense,Entertainment expenses
150,Utilities,Expense,Monthly salary payments
24,Freelance Income,Expense,Entertainment expenses
148,Utilities,Income,Healthcare expenditures
102,Food,Expense,Monthly salary payments
18,Transportation,Income,Entertainment expenses
150,Food,Income,Healthcare expenditures
108,Entertainment,Expense,Transport-related costs
198,Utilities,Expense,Transport-related costs
51,Utilities,Expense,Transport-related costs
93,Food,Expense,Daily food purchases
104,Freelance Income,Income,Transport-related costs
70,Food,Income,Monthly salary payments
120,Salary,Income,Entertainment expenses
99,Freelance Income,Expense,Healthcare expenditures
157,Freelance Income,Expense,Monthly salary payments
87,Salary,Income,Transport-related costs
174,Transportation,Expense,Daily food purchases
162,Food,Income,Entertainment expenses
13,Food,Expense,Entertainment expenses
88,Utilities,Expense,Daily food purchases
71,Transportation,Expense,Healthcare expenditures
107,Transportation,Expense,Transport-related costs
28,Entertainment,Income,Daily food purchases
5,Salary,Expense,Monthly salary payments
139,Freelance Income,Expense,Transport-related costs
43,Food,Income,Entertainment expenses
33,Utilities,Income,Daily food purchases
10,Transportation,Expense,Monthly salary payments
149,Entertainment,Expense,Transport-related costs
196,Salary,Income,Healthcare expenditures
79,Food,Income,Daily food purchases
139,Transportation,Expense,Entertainment expenses
57,Freelance Income,Expense,Entertainment expenses
80,Freelance Income,Expense,Entertainment expenses
125,Salary,Expense,Transport-related costs
97,Entertainment,Income,Daily food purchases
143,Food,Income,Transport-related costs
38,Entertainment,Expense,Entertainment expenses
177,Freelance Income,Expense,Entertainment expenses
152,Entertainment,Income,Healthcare expenditures
196,Entertainment,Income,Daily food purchases
91,Utilities,Expense,Transport-related costs
61,Food,Expense,Transport-related costs
165,Freelance Income,Income,Daily food purchases
86,Food,Income,Monthly salary payments
180,Transportation,Expense,Daily food purchases
15,Freelance Income,Income,Healthcare expenditures
57,Freelance Income,Income,Transport-related costs
87,Entertainment,Income,Entertainment expenses
70,Food,Income,Healthcare expenditures
131,Food,Expense,Monthly salary payments
153,Food,Income,Entertainment expenses
142,Food,Expense,Monthly salary payments
132,Transportation,Income,Healthcare expenditures
67,Food,Expense,Transport-related costs
167,Food,Income,Transport-related costs
87,Utilities,Income,Daily food purchases
87,Freelance Income,Expense,Entertainment expenses
88,Salary,Expense,Monthly salary payments
61,Transportation,Expense,Transport-related costs
87,Food,Expense,Monthly salary payments
177,Freelance Income,Income,Entertainment expenses
154,Utilities,Income,Daily food purchases
9,Utilities,Expense,Daily food purchases
101,Salary,Income,Entertainment expenses
27,Food,Income,Entertainment expenses
28,Food,Expense,Transport-related costs
108,Food,Income,Healthcare expenditures
135,Utilities,Expense,Monthly salary payments
10,Food,Expense,Transport-related costs
3,Food,Income,Transport-related costs
14,Transportation,Income,Entertainment expenses
61,Entertainment,Income,Transport-related costs
136,Utilities,Expense,Entertainment expenses
34,Salary,Expense,Entertainment expenses
101,Food,Expense,Monthly salary payments
24,Transportation,Income,Transport-related costs
167,Salary,Income,Monthly salary payments
169,Utilities,Expense,Entertainment expenses
156,Salary,Expense,Entertainment expenses
3,Food,Income,Transport-related costs
157,Transportation,Expense,Daily food purchases
133,Freelance Income,Income,Entertainment expenses
91,Salary,Expense,Transport-related costs
21,Food,Expense,Monthly salary payments
81,Freelance Income,Expense,Healthcare expenditures
184,Transportation,Expense,Daily food purchases
135,Entertainment,Income,Healthcare expenditures
139,Entertainment,Income,Healthcare expenditures
156,Entertainment,Expense,Entertainment expenses
35,Entertainment,Expense,Healthcare expenditures
130,Salary,Expense,Daily food purchases
33,Entertainment,Expense,Daily food purchases
6,Food,Income,Monthly salary payments
168,Transportation,Expense,Transport-related costs
165,Salary,Expense,Healthcare expenditures
8,Freelance Income,Income,Monthly salary payments
59,Food,Income,Monthly salary payments
69,Transportation,Income,Entertainment expenses
37,Entertainment,Expense,Transport-related costs
193,Utilities,Expense,Healthcare expenditures
79,Freelance Income,Income,Healthcare expenditures
63,Food,Expense,Monthly salary payments
184,Transportation,Income,Daily food purchases
59,Salary,Income,Daily food purchases
43,Food,Expense,Entertainment expenses
63,Utilities,Expense,Healthcare expenditures
136,Transportation,Income,Monthly salary payments
19,Utilities,Expense,Healthcare expenditures
177,Transportation,Expense,Monthly salary payments
17,Freelance Income,Income,Healthcare expenditures
44,Freelance Income,Expense,Monthly salary payments
17,Entertainment,Income,Monthly salary payments
154,Entertainment,Income,Transport-related costs
48,Salary,Expense,Entertainment expenses
92,Food,Expense,Monthly salary payments
71,Entertainment,Income,Healthcare expenditures
87,Utilities,Income,Monthly salary payments
103,Transportation,Income,Transport-related costs
107,Food,Income,Entertainment expenses
162,Utilities,Expense,Daily food purchases
50,Entertainment,Income,Transport-related costs
74,Transportation,Expense,Transport-related costs
103,Utilities,Income,Healthcare expenditures
21,Utilities,Income,Transport-related costs
24,Freelance Income,Income,Entertainment expenses
72,Freelance Income,Expense,Transport-related costs
20,Freelance Income,Expense,Transport-related costs
28,Transportation,Expense,Transport-related costs
133,Food,Income,Transport-related costs
198,Entertainment,Expense,Monthly salary payments
189,Freelance Income,Expense,Healthcare expenditures
127,Freelance Income,Income,Monthly salary payments
100,Food,Expense,Entertainment expenses
180,Food,Income,Transport-related costs
113,Freelance Income,Income,Healthcare expenditures
152,Freelance Income,Income,Healthcare expenditures
4,Salary,Expense,Monthly salary payments
66,Food,Expense,Monthly salary payments
168,Transportation,Income,Transport-related costs
191,Salary,Income,Transport-related costs
63,Utilities,Expense,Daily food purchases
