income_id,user_id,income_type,amount,frequency,start_date,end_date
1,20,Salary,4455,One-time,2022-03-31,2022-04-02
2,180,Salary,515,Annual,2023-12-01,2025-11-11
3,5,Salary,1770,Annual,2023-11-04,2025-11-04
4,75,Allowance,1589,Monthly,2023-01-03,2023-10-03
5,23,Pension,4513,Quarterly,2015-05-05,2015-05-14
6,186,Pension,3744,Weekly,2015-02-05,2015-03-07
7,51,Business,3848,One-time,2024-10-22,2024-11-08
8,24,Salary,3475,Monthly,2017-02-16,2018-04-16
9,180,Freelance,660,Monthly,2015-02-02,2016-03-02
10,197,Business,4352,Monthly,2024-10-20,2025-07-20
11,194,Pension,916,Quarterly,2018-11-13,2018-12-05
12,146,Freelance,1865,Monthly,2024-05-14,2025-11-11
13,158,Investment,1587,Weekly,2015-09-09,2015-09-25
14,48,Pension,3772,One-time,2024-09-23,2024-10-11
15,42,Freelance,985,Weekly,2017-12-01,2017-12-21
16,60,Business,3066,Quarterly,2025-08-29,2025-09-25
17,95,Business,1480,Annual,2017-01-13,2019-01-13
18,116,Investment,1940,Quarterly,2024-07-21,2024-08-02
19,72,Pension,2175,One-time,2019-09-24,2019-09-26
20,107,Investment,4222,Weekly,2021-06-13,2021-06-24
21,13,Business,1321,One-time,2015-02-27,2015-03-19
22,84,Scholarship,244,Monthly,2024-02-24,2025-11-11
23,100,Allowance,622,Weekly,2018-09-25,2018-10-18
24,114,Scholarship,4408,Annual,2020-06-19,2021-06-19
25,92,Pension,493,Annual,2015-09-25,2017-09-25
26,56,Business,3086,Weekly,2020-06-02,2020-06-08
27,200,Freelance,4613,Monthly,2020-11-18,2022-04-18
28,188,Freelance,1760,One-time,2015-11-27,2015-12-14
29,17,Freelance,3584,One-time,2021-09-21,2021-10-08
30,61,Allowance,2130,Weekly,2022-09-23,2022-09-29
31,98,Business,2163,Quarterly,2020-01-18,2020-02-17
32,183,Freelance,1900,One-time,2022-03-19,2022-03-22
33,194,Salary,2315,Monthly,2018-05-16,2019-06-16
34,35,Salary,899,Monthly,2018-05-14,2021-05-14
35,41,Business,601,Weekly,2023-02-12,2023-03-02
36,89,Business,2284,Annual,2023-03-17,2025-11-11
37,91,Investment,4276,One-time,2022-05-29,2022-06-25
38,45,Freelance,4649,Quarterly,2021-03-28,2021-04-03
39,46,Business,1701,Monthly,2017-09-06,2021-08-06
40,45,Business,3702,Monthly,2019-04-27,2021-12-27
41,113,Investment,3274,Monthly,2024-03-05,2025-11-11
42,158,Business,915,Monthly,2016-07-31,2016-12-31
43,55,Allowance,707,Annual,2020-09-12,2024-09-12
44,200,Pension,2530,Annual,2025-06-07,2025-11-11
45,152,Scholarship,2338,Weekly,2021-01-26,2021-02-03
46,1,Business,566,Weekly,2022-12-23,2023-01-20
47,141,Investment,2146,One-time,2016-06-30,2016-07-26
48,51,Scholarship,1146,Weekly,2018-07-02,2018-07-29
49,31,Scholarship,3800,Weekly,2016-10-04,2016-10-12
50,88,Scholarship,3664,Weekly,2022-09-07,2022-10-04
51,59,Pension,1432,One-time,2023-03-24,2023-03-31
52,38,Pension,1369,One-time,2023-01-16,2023-01-31
53,96,Allowance,429,Weekly,2024-04-01,2024-04-08
54,90,Business,4234,Weekly,2018-06-15,2018-07-14
55,183,Investment,707,Annual,2019-02-25,2020-02-25
56,45,Salary,3296,Monthly,2017-06-23,2019-08-23
57,111,Freelance,2547,One-time,2025-08-02,2025-08-23
58,120,Freelance,223,One-time,2015-05-01,2015-05-22
59,152,Scholarship,3814,Weekly,2015-10-04,2015-10-06
60,92,Freelance,1922,Annual,2021-03-03,2022-03-03
61,2,Scholarship,1630,Annual,2025-04-13,2025-11-11
62,31,Pension,1245,Weekly,2016-08-23,2016-08-28
63,35,Investment,2224,Annual,2021-03-01,2024-03-01
64,77,Business,4953,Quarterly,2019-03-05,2019-03-25
65,92,Investment,4142,Quarterly,2019-09-02,2019-09-03
66,22,Business,725,Quarterly,2016-08-31,2016-09-01
67,78,Salary,2573,One-time,2018-12-18,2019-01-10
68,11,Investment,233,One-time,2017-09-30,2017-10-21
69,173,Business,2004,Quarterly,2019-08-25,2019-09-06
70,167,Freelance,3541,Weekly,2018-10-06,2018-10-15
71,7,Investment,424,Annual,2022-08-14,2024-08-14
72,79,Salary,100,Annual,2015-10-27,2018-10-27
73,72,Freelance,2963,Quarterly,2015-02-01,2015-03-03
74,182,Pension,1470,Annual,2021-08-21,2025-08-21
75,23,Pension,4563,Quarterly,2017-06-12,2017-07-02
76,158,Salary,1577,One-time,2024-07-11,2024-07-27
77,117,Business,701,Quarterly,2019-03-27,2019-04-08
78,184,Pension,3980,Weekly,2018-04-26,2018-05-03
79,156,Scholarship,1899,One-time,2018-11-30,2018-12-08
80,26,Pension,1150,Annual,2016-04-15,2021-04-15
81,26,Salary,4904,One-time,2015-07-17,2015-08-01
82,64,Investment,2544,Weekly,2023-12-06,2023-12-07
83,16,Business,359,Annual,2015-03-26,2016-03-26
84,8,Scholarship,4527,Weekly,2020-05-27,2020-06-10
85,168,Business,2521,Weekly,2015-04-16,2015-05-05
86,128,Allowance,1191,Weekly,2019-10-17,2019-10-25
87,36,Scholarship,3063,One-time,2017-10-21,2017-10-25
88,163,Scholarship,3113,Monthly,2023-09-30,2025-06-30
89,149,Investment,1201,Weekly,2018-12-31,2019-01-13
90,68,Salary,1895,Quarterly,2019-05-25,2019-06-10
91,72,Salary,4409,Quarterly,2022-03-07,2022-03-27
92,129,Investment,1263,One-time,2023-09-08,2023-09-11
93,3,Investment,3243,Monthly,2021-03-06,2022-09-06
94,177,Business,2995,Quarterly,2016-03-22,2016-04-03
95,16,Salary,1119,Annual,2017-10-01,2019-10-01
96,100,Salary,4792,One-time,2020-12-23,2021-01-08
97,15,Allowance,696,One-time,2022-09-29,2022-10-03
98,72,Scholarship,2323,Quarterly,2024-10-27,2024-11-03
99,65,Business,372,One-time,2024-02-14,2024-02-26
100,61,Investment,3328,Quarterly,2016-03-02,2016-03-05
101,137,Allowance,4133,Weekly,2021-11-10,2021-11-15
102,61,Pension,1710,One-time,2022-10-23,2022-11-17
103,37,Business,482,Weekly,2023-06-27,2023-07-15
104,111,Freelance,2024,Annual,2025-08-30,2025-11-11
105,27,Scholarship,2436,Annual,2025-07-22,2025-11-11
106,127,Business,2914,Annual,2022-09-24,2024-09-24
107,28,Business,1520,Annual,2020-04-14,2024-04-14
108,127,Business,4425,Monthly,2025-04-02,2025-11-11
109,158,Investment,1108,Quarterly,2021-03-28,2021-04-14
110,72,Scholarship,348,Quarterly,2015-05-10,2015-05-19
111,184,Scholarship,2361,Annual,2023-09-27,2024-09-27
112,168,Salary,4549,Quarterly,2015-04-04,2015-04-13
113,126,Business,756,Weekly,2015-10-24,2015-11-02
114,147,Freelance,4178,One-time,2023-03-23,2023-04-02
115,55,Allowance,4049,Weekly,2022-03-31,2022-04-12
116,58,Business,2343,One-time,2020-04-17,2020-05-16
117,162,Allowance,3998,Quarterly,2018-06-03,2018-06-26
118,17,Scholarship,4405,Quarterly,2021-11-24,2021-11-27
119,94,Business,3634,Quarterly,2018-04-20,2018-04-28
120,124,Allowance,2360,Weekly,2018-03-24,2018-03-26
121,132,Scholarship,3125,Quarterly,2018-08-25,2018-08-26
122,127,Salary,3203,Annual,2025-01-21,2025-11-11
123,100,Freelance,918,Annual,2018-06-22,2019-06-22
124,109,Scholarship,1716,Monthly,2021-10-25,2024-08-25
125,122,Freelance,761,Quarterly,2019-11-23,2019-12-20
126,111,Allowance,2837,Annual,2017-04-27,2019-04-27
127,67,Freelance,4449,Weekly,2024-04-11,2024-05-05
128,168,Investment,2566,One-time,2016-02-14,2016-02-24
129,163,Investment,3723,Quarterly,2022-06-12,2022-07-03
130,57,Business,2831,Monthly,2022-02-17,2025-04-17
131,39,Allowance,4443,One-time,2025-06-18,2025-06-28
132,133,Pension,1300,Quarterly,2020-12-28,2021-01-24
133,117,Business,2882,One-time,2020-04-14,2020-04-18
134,199,Allowance,1517,Weekly,2021-01-23,2021-01-31
135,126,Scholarship,1608,Weekly,2020-01-04,2020-01-29
136,13,Freelance,633,Annual,2020-02-16,2022-02-16
137,107,Allowance,1032,Annual,2018-04-17,2019-04-17
138,173,Pension,4335,One-time,2024-02-22,2024-03-01
139,183,Freelance,2986,Annual,2017-07-05,2021-07-05
140,25,Salary,2756,One-time,2024-03-11,2024-03-20
141,105,Scholarship,2612,Weekly,2024-07-06,2024-07-31
142,43,Business,722,One-time,2020-04-09,2020-04-18
143,150,Scholarship,593,Quarterly,2017-12-02,2017-12-18
144,112,Investment,308,Monthly,2015-05-23,2015-07-23
145,35,Business,3265,Weekly,2024-08-18,2024-09-17
146,123,Scholarship,2673,Monthly,2022-02-23,2022-04-23
147,24,Allowance,4085,Weekly,2024-02-27,2024-02-29
148,181,Allowance,3709,Quarterly,2019-09-12,2019-09-23
149,137,Scholarship,2288,One-time,2023-05-19,2023-06-12
150,30,Pension,4500,Monthly,2023-02-24,2025-11-11
151,105,Freelance,2878,Annual,2024-06-24,2025-11-11
152,73,Business,2700,Quarterly,2023-03-30,2023-04-21
153,145,Scholarship,3002,One-time,2017-07-02,2017-07-14
154,16,Freelance,1586,One-time,2018-02-02,2018-02-15
155,35,Salary,751,Monthly,2024-02-21,2025-11-11
156,177,Pension,4437,Quarterly,2016-08-24,2016-09-13
157,10,Investment,4319,Quarterly,2015-08-19,2015-09-10
158,82,Investment,4960,Monthly,2019-01-17,2021-01-17
159,102,Freelance,839,One-time,2016-05-05,2016-05-20
160,26,Allowance,114,Monthly,2025-05-27,2025-11-11
161,183,Business,897,Quarterly,2015-12-10,2015-12-21
162,90,Allowance,2766,Quarterly,2022-08-25,2022-09-20
163,171,Pension,1569,Quarterly,2022-09-26,2022-10-04
164,31,Pension,4615,Monthly,2019-10-20,2023-09-20
165,110,Scholarship,185,Weekly,2017-06-18,2017-07-02
166,9,Allowance,3838,One-time,2019-05-01,2019-05-17
167,27,Pension,4530,Weekly,2019-03-19,2019-04-10
168,132,Allowance,4051,Weekly,2016-12-10,2016-12-24
169,16,Business,3727,Annual,2024-03-08,2025-11-11
170,197,Pension,254,Weekly,2025-03-27,2025-04-15
171,119,Allowance,2554,One-time,2024-06-25,2024-07-13
172,143,Pension,2125,One-time,2023-01-26,2023-02-20
173,166,Allowance,2526,Weekly,2018-05-30,2018-06-10
174,120,Scholarship,4037,Annual,2015-08-16,2017-08-16
175,122,Scholarship,2400,Monthly,2021-11-16,2022-02-16
176,73,Allowance,1865,One-time,2016-09-06,2016-09-09
177,49,Pension,2713,Annual,2023-06-19,2025-11-11
178,121,Pension,2219,One-time,2023-12-24,2024-01-22
179,35,Salary,920,Weekly,2023-08-11,2023-08-16
180,194,Salary,136,Annual,2021-04-17,2023-04-17
181,50,Scholarship,1815,One-time,2019-05-01,2019-05-20
182,91,Investment,912,Annual,2016-02-21,2019-02-21
183,7,Pension,1854,One-time,2018-04-28,2018-05-07
184,129,Allowance,780,One-time,2024-03-24,2024-04-12
185,103,Investment,506,Monthly,2022-02-15,2023-05-15
186,118,Freelance,2855,Monthly,2015-12-30,2017-04-30
187,63,Business,1685,Annual,2024-07-19,2025-07-19
188,195,Pension,3794,Quarterly,2015-06-26,2015-06-30
189,190,Salary,4362,Quarterly,2019-07-07,2019-07-21
190,160,Pension,4037,Annual,2018-06-13,2020-06-13
191,135,Pension,1152,Weekly,2016-05-06,2016-05-23
192,164,Pension,3529,Monthly,2021-10-29,2025-03-29
193,110,Freelance,1478,One-time,2017-01-31,2017-02-15
194,112,Salary,2298,Weekly,2016-01-07,2016-02-01
195,143,Allowance,4319,One-time,2017-11-02,2017-11-14
196,9,Investment,3306,Quarterly,2024-07-03,2024-07-09
197,112,Allowance,3401,Quarterly,2024-09-02,2024-09-20
198,35,Business,3762,Quarterly,2023-04-10,2023-04-18
199,73,Investment,3661,Weekly,2025-03-29,2025-04-20
200,53,Investment,2336,Weekly,2018-12-27,2019-01-08
