saving_id,user_id,saving_type,goal_amount,current_amount,start_date,target_date
83429-416,101,Long-term Investment,4181.68,3262.73,11/9/2024,9/26/2024
06211-710,4,Emergency Fund,2719.68,3569.37,3/30/2025,5/11/2023
19827-946,57,Vacation Fund,496.01,4941.78,10/19/2023,1/30/2022
52080-570,187,Education Savings,3552.01,303.86,6/22/2016,10/6/2023
34118-673,131,Education Savings,4217.2,4776.09,7/1/2017,6/19/2024
71123-773,62,Vacation Fund,4732.22,3103.36,9/21/2025,3/11/2022
87778-834,102,Emergency Fund,4746.52,4420.29,11/18/2022,4/26/2025
86668-485,164,Emergency Fund,1981.98,1532.72,6/2/2015,5/8/2023
15736-474,196,Emergency Fund,3348.64,1655.74,11/23/2019,3/6/2024
34649-115,94,Vacation Fund,3519.75,2124.41,12/27/2017,7/8/2024
01388-444,95,Emergency Fund,2100.94,151.58,9/26/2022,4/27/2024
20340-561,18,Education Savings,4752.38,2394.34,10/4/2015,2/24/2022
53111-731,174,Vacation Fund,4946.96,3653.85,1/12/2015,8/25/2023
13572-740,53,Emergency Fund,1353.8,931.28,8/22/2022,10/10/2022
71539-947,36,Education Savings,4025.81,4927.68,5/27/2019,10/7/2023
70062-385,81,Long-term Investment,366.76,4764.73,11/15/2025,9/1/2025
13888-104,193,Education Savings,2406.48,4584.11,3/12/2025,1/30/2023
80117-286,187,Long-term Investment,2819.66,1574.36,4/29/2016,6/10/2023
75701-651,44,Long-term Investment,1511.01,2633.37,2/2/2022,9/7/2023
99283-284,100,Vacation Fund,3136.49,3306.15,9/18/2023,4/28/2023
02451-117,63,Emergency Fund,213.56,3365.14,5/19/2015,12/2/2022
82243-578,121,Vacation Fund,1911.81,2235.11,12/3/2020,3/18/2025
00242-916,196,Long-term Investment,4627.65,2915.91,5/25/2023,3/12/2024
00602-558,112,Vacation Fund,1150.91,1426.56,3/28/2020,7/18/2022
54445-835,137,Emergency Fund,3837.4,1154.97,1/3/2016,11/11/2025
42899-925,118,Vacation Fund,2324.17,3825.7,4/24/2016,10/8/2022
85049-577,95,Emergency Fund,3290.34,921.65,6/2/2022,5/23/2023
62784-540,197,Education Savings,3507.88,3083.72,11/21/2021,7/13/2022
90481-163,184,Long-term Investment,1620.59,1657.59,8/10/2024,6/10/2025
59282-249,156,Vacation Fund,1125.54,684.9,7/23/2018,1/30/2024
53111-950,113,Long-term Investment,3208.49,1532.4,12/2/2021,7/23/2025
91951-718,114,Vacation Fund,2263.66,4044.81,12/5/2015,5/13/2022
68312-093,159,Long-term Investment,3655.83,3863.48,6/15/2015,5/5/2022
16992-710,171,Vacation Fund,1660.36,1252.72,12/18/2017,4/4/2023
36416-386,150,Emergency Fund,2889.41,2131.55,11/19/2017,3/20/2022
09111-615,195,Vacation Fund,986.29,4875.95,6/25/2017,4/8/2023
06121-771,133,Vacation Fund,817.94,437.58,5/28/2025,7/14/2025
28719-707,25,Education Savings,342.34,4514.55,8/8/2018,5/2/2023
95464-934,125,Education Savings,2690.35,2547.17,6/3/2024,6/17/2023
66561-815,197,Education Savings,3797.35,1545.03,6/27/2024,11/29/2023
37380-911,176,Vacation Fund,2101.6,2851.03,2/3/2025,7/20/2024
31287-912,20,Emergency Fund,3856.62,2389.85,6/23/2023,12/10/2024
93725-717,166,Education Savings,4461.86,3400.44,8/25/2018,10/6/2023
97784-817,109,Education Savings,4217.31,4958.61,3/14/2019,6/5/2023
