transaction_id,type,amount,date,description,account_id,expense_id,income_id,bill_id,saving_id
1,Income,26981.9017961813,2016-10-17,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,22,,124,,
2,Expense,415.5444849321,2020-06-29,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",150,,,146,
3,Transfer,2814.4935915263,2021-07-20,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",122,,70,,
4,Saving,1969.4061478584,2023-11-25,Proin risus. Praesent lectus.,149,42,,,
5,Transfer,4348.4157124751,2024-02-09,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",39,,100,,
6,Bill,1118.4107595095,2021-10-29,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,73,,,,
7,Saving,1341.3886842831,2023-07-14,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",8,,2,,
8,Income,13398.8353158089,2015-10-03,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,132,,34,,
9,Transfer,2285.7121717093,2016-06-24,In eleifend quam a odio. In hac habitasse platea dictumst.,109,7,,,
10,Income,10634.4524225049,2017-08-30,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",89,,,,
11,Transfer,215.1588947592,2023-05-25,Aenean sit amet justo. Morbi ut odio.,128,,29,,
12,Transfer,759.6316605305,2022-10-13,Phasellus in felis. Donec semper sapien a libero.,186,,,,
13,Income,9097.8457413587,2021-12-12,Mauris lacinia sapien quis libero.,20,,,34,
14,Saving,1601.122522284,2020-01-09,Fusce consequat.,171,,,,
15,Expense,391.8190436886,2016-05-31,Morbi a ipsum. Integer a nibh.,75,,,104,
16,Income,5969.9891133726,2023-12-20,Vestibulum ac est lacinia nisi venenatis tristique.,45,80,23,,
17,Bill,2400.3663739743,2020-05-29,Praesent id massa id nisl venenatis lacinia.,190,,134,9,
18,Transfer,1503.9096710895,2018-05-15,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",104,159,,,
19,Transfer,4595.1485220386,2024-12-11,Nulla nisl. Nunc nisl.,186,,,,
20,Transfer,340.4954407727,2022-01-26,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",77,,146,,
21,Expense,179.4143403801,2024-06-27,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",92,,,,
22,Income,11161.4861575729,2025-02-19,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",55,,,,
23,Transfer,2318.9920227827,2025-05-14,Curabitur at ipsum ac tellus semper interdum.,7,,,,
24,Transfer,230.2186020637,2016-05-23,Integer ac neque. Duis bibendum.,11,,,,
25,Transfer,1062.4868852402,2019-01-31,Sed sagittis.,175,,,,
26,Saving,1028.0191630385,2025-02-07,Integer ac leo. Pellentesque ultrices mattis odio.,52,,,,
27,Income,27896.7470957657,2024-01-23,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",16,,,,
28,Saving,1414.5243651098,2020-02-04,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",127,,,,
29,Income,12395.7648509564,2022-04-15,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,27,,,,
30,Transfer,4537.4885200948,2023-12-23,Nulla suscipit ligula in lacus.,78,,,194,198
31,Transfer,3521.0815785874,2023-06-14,In eleifend quam a odio. In hac habitasse platea dictumst.,88,,,,
32,Bill,634.2191623258,2019-04-18,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",22,,,,
33,Transfer,1057.1527565671,2019-03-06,Duis at velit eu est congue elementum.,79,,,,
34,Transfer,345.3418516635,2025-06-21,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",41,,192,33,
35,Transfer,3554.2524981041,2017-02-12,Morbi ut odio.,176,6,138,95,
36,Saving,1851.6904702222,2018-12-10,Suspendisse potenti.,84,,,127,
37,Saving,783.9536474226,2018-05-08,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,139,,,,
38,Transfer,1141.1490937805,2018-10-15,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",185,,,,143
39,Expense,397.276143818,2019-12-19,In congue. Etiam justo.,36,,,,
40,Income,32528.4820104946,2018-06-26,Suspendisse ornare consequat lectus.,147,,65,,
41,Income,22707.6172512679,2023-05-24,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",160,,,,
42,Transfer,2862.918700066,2025-10-18,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",12,186,180,,
43,Saving,1359.3177567983,2016-09-29,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,81,,,,142
44,Bill,886.3182730434,2025-11-18,Cras in purus eu magna vulputate luctus.,87,,82,171,
45,Saving,161.1027852597,2016-04-01,Donec semper sapien a libero. Nam dui.,164,,66,,66
46,Bill,938.5259157314,2021-04-21,In quis justo.,15,44,,,
47,Income,12000.3206564461,2025-03-21,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",38,10,,,
48,Transfer,4586.1752280469,2017-02-16,Aliquam non mauris.,104,167,79,,
49,Income,8015.6296848691,2022-09-11,Proin at turpis a pede posuere nonummy. Integer non velit.,73,,,96,18
50,Income,47354.6296552568,2015-07-19,Curabitur convallis.,163,50,,44,
51,Transfer,3707.8027309887,2015-03-31,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,200,,,,
52,Expense,426.201322795,2020-07-19,Quisque ut erat.,14,,,197,
53,Saving,201.3489498412,2025-06-13,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2,,94,,
54,Income,1198.6707628037,2018-03-13,Donec ut mauris eget massa tempor convallis.,67,168,,,
55,Bill,1060.383554769,2021-03-18,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,129,,16,,
56,Saving,973.6054519596,2022-01-30,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,191,,56,32,
57,Income,14257.3407738315,2015-11-18,Duis bibendum.,47,73,34,106,
58,Saving,1375.6396109814,2023-12-08,Sed accumsan felis.,132,39,,,
59,Saving,282.0133809502,2019-01-16,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,119,92,163,,
60,Bill,3771.3044812476,2017-04-13,Aenean sit amet justo. Morbi ut odio.,34,,,26,
61,Saving,567.0553236468,2024-06-15,Duis bibendum. Morbi non quam nec dui luctus rutrum.,24,,,,
62,Saving,1342.3316328262,2019-04-30,Aliquam erat volutpat. In congue.,191,170,56,,
63,Bill,111.4148216445,2015-07-04,Etiam justo.,1,,,,
64,Saving,1790.2001803044,2019-07-25,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",10,,,,
65,Income,8462.4093938727,2024-08-17,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",89,,,,89
66,Transfer,342.230020832,2019-07-23,Duis bibendum. Morbi non quam nec dui luctus rutrum.,139,57,,,
67,Expense,485.9928030167,2015-12-07,Maecenas pulvinar lobortis est.,186,,,,
68,Income,11985.1955500825,2024-12-28,Curabitur convallis.,53,,115,1,
69,Saving,529.9099423809,2021-04-05,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",4,153,,,
70,Saving,341.831558533,2024-01-13,Morbi non quam nec dui luctus rutrum.,19,,,89,
71,Transfer,4000.7753247125,2024-11-06,In hac habitasse platea dictumst.,72,,,,
72,Saving,709.6421032178,2022-03-02,Maecenas tincidunt lacus at velit.,26,15,15,133,
73,Expense,294.1022419595,2024-03-31,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",108,143,,1,
74,Transfer,3775.7051583244,2016-08-20,Integer a nibh. In quis justo.,92,,,,
75,Bill,1441.0985515953,2025-06-01,Nunc nisl.,51,,,,
76,Income,5544.4408074321,2019-11-14,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",43,56,,,
